;X001_Name;X002_Street;X003_PEastcode;X004_City;X006_Country;X010_Lon;X011_Lat;X012_NoRooms;X014_CheckIn;X016_MultiLang;X022_ConfOrMeetingRooms;X025_Pool;X026_RestaurantOrCafe;X027_Fitnesscenter;X029_FreeInternet;X035_BarOrLounge;X040_FreeParking;X046_PayOptions;X052_RoomService;X055_Minibar;X098_DistanceSerraDeTramuntana;X099_DistanceCathedralLeSeu;X100_DistanceAlcudiaOldTown;X102_DistanceToBeach;X103LocationBeach
2;Castillo Hotel Son Vida, a Luxury Collection Hotel;Carrer Raixa 2;7013;#NV;Spain;2,595691;39,59249;164;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;TRUE;TRUE;8,128233348;5,250090423;53,41993473;#NV;West
3;The St. Regis Mardavall Mallorca Resort;Carretera Palma-Andratx 19;7181;CEasta d'en Blanes;Spain;2,551003;39,52786;130;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;TRUE;TRUE;7,46376685;9,363085917;60,66968841;0,250479171;West
4;Hotel Nixe Palace;Avda Joan Miro 269;7015;Cala Major;Spain;2,607731;39,55271;133;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; JCB International; Visa;TRUE;FALSE;9,704314515;3,778236034;55,12635437;0,037281655;West
5;ME Mallorca;Avenida Notario Alemany 1;7181;Calvia;Spain;2,532252;39,50379;253;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;TRUE;TRUE;9,203319481;12,14378639;63,56865335;0,107408422;West
6;Hotel Isla Mallorca & Spa;Pilar Juncosa 7;7014;Palma de Mallorca;Spain;2,627759;39,5691;153;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;American Express; Visa; MasterCard;TRUE;TRUE;10,92202388;1,707836419;52,65864377;2,522120913;West
7;Gran Melia Victoria;Avenida Joan Miro 21;7014;Palma de Mallorca;Spain;2,626201;39,56392;171;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; JCB International; Visa;TRUE;TRUE;10,88859554;1,868112455;53,11274096;2,027722469;West
8;Belmond La Residencia;Son Canals s/n;7179;Deia;Spain;2,648812;39,74985;61;3:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;American Express; Visa; MasterCard;TRUE;FALSE;22,40020516;20,28412712;41,90848006;1,29202263;North
10;IberEastar Alcudia Park;Avenida Albufera 30-Las Gaviotas;7408;Playa de Muro;Spain;3,116396;39,81178;366;2:00 PM;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;American Express; Visa; MasterCard; Maestro;FALSE;TRUE;58,38525622;48,42640452;4,59718392;0,086452301;East
11;Hotel CEasta Azul;Avenida Gabriel Roca 7;7014;Palma de Mallorca;Spain;2,634994;39,56891;126;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; Visa; American Express;TRUE;FALSE;11,53855759;1,09105806;52,17758523;1,979735846;West
12;Santa Clara Urban Hotel & Spa;Sant Alonso 16;7001;Palma de Mallorca;Spain;2,652266;39,56692;20;12:00 PM;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;TRUE;FALSE;13,03443037;0,405353876;51,14743867;0,531598784;West
13;GPRO ValparaIso Palace & SPA;Francisco Vidal Sureda 23;7015;Palma de Mallorca;Spain;2,619667;39,55567;174;3:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;TRUE;TRUE;10,56863885;2,717194675;54,11545137;1,027456233;West
16;Pollentia Club Resort;Carretera de Alcudia-Pto. de Pollensa km. 2;7400;Alcudia;Spain;3,090663;39,8649;508;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa;FALSE;FALSE;59,28877685;50,27890333;2,905982749;0,223925094;East
18;Cap Rocat;Ctra. d'Enderrocat s/n;7609;Cala Blava;Spain;2,724351;39,47609;25;3:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa;TRUE;FALSE;22,49855377;12,08596293;53,90081043;1,352559901;West
20;IberEastar Ciudad Blanca;Juan Carlos I 43;7408;Port d'Alcudia;Spain;3,117542;39,83187;303;3:00 PM;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;MasterCard; American Express; Visa;FALSE;FALSE;59,47057865;49,7873888;2,366429149;0,124885842;East
25;HM Balanguera;Calle Balanguera 37;7011;Palma de Mallorca;Spain;2,641874;39,57975;40;1:00 PM;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;TRUE;FALSE;12,02372386;1,465644578;50,98155002;2,185047828;West
27;IBEREastAR Albufera Park;Playa de Muro s/n;7408;Playa de Muro;Spain;3,127479;39,78701;250;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa;FALSE;TRUE;58,12158019;47,7560216;7,353628483;0,223795228;East
29;Melia Palas Atenea;Avinguda de Gabriel Roca 29;7014;Palma de Mallorca;Spain;2,627974;39,56471;361;3:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; JCB International; Visa; American Express; Diners Club Card;TRUE;FALSE;11,02081667;1,702542976;52,93875937;2,190462215;West
33;Finca Hotel Son Palou;Plaza de la Iglesia s/n;7349;Orient;Spain;2,759352;39,73448;12;1:00 PM;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa;TRUE;FALSE;27,73320529;20,89362529;33,56862872;8,377926267;Center
35;Barcelo Formentor;C/ Playa de Formentor 3;7470;Port de Pollenca;Spain;3,144602;39,92717;122;4:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;TRUE;FALSE;66,92545824;58,32948749;8,483874644;0,132697486;East
36;H10 Blue Mar;Camino del Salinar 8;7160;Camp De Mar;Spain;2,424313;39,53763;101;2:00 PM;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; Visa; American Express; Diners Club Card;TRUE;FALSE;8,329078967;19,40972113;69,11114224;0,036640358;West
38;TRYP Palma Bellver Hotel;Paseo Maritimo 11;7014;Palma de Mallorca;Spain;2,631216;39,56839;384;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; JCB International; Visa;TRUE;FALSE;11,22646488;1,405232919;52,47001981;2,279852757;West
39;Hilton Sa Torre Mallorca;Cami Sa Torre KM 87;7609;Llucmajor;Spain;2,800086;39,4384;90;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;MasterCard; American Express; Visa;TRUE;FALSE;30,22852673;19,39610511;53,63232833;7,531647414;West
40;Finca Es Castell;C Binibona s/n;7314;Caimari;Spain;2,927287;39,78837;12;2:00 PM;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;American Express; Visa; MasterCard; Maestro; EC Card;FALSE;FALSE;42,95810143;34,28860703;18,02509727;12,15159365;Center
41;Hotel UR Portofino;Trafalgar 24;7007;Palma de Mallorca;Spain;2,691834;39,55162;70;3:00 PM;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;FALSE;FALSE;16,6722191;4,174372144;49,67620209;0,095952956;West
44;Gran Hotel Son Net;C/ Castillo de Son Net s/n;7194;Puigpunyent;Spain;2,5245;39,62367;31;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa;TRUE;FALSE;4,911953871;12,2577368;56,98503757;5,938636606;Center
50;Intertur Hotel Hawaii Mallorca & Suites;Calle Torrenova 1;7181;#NV;Spain;2,541972;39,51276;230;2:00 PM;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; Visa;FALSE;TRUE;8,555010826;10,89102915;62,29987733;#NV;West
51;Aparthotel Ferrera Blanca;Sa Partio s/n;7669;Cala d'Or;Spain;3,236696;39,38025;183;2:00 PM;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;American Express; Visa; MasterCard;FALSE;FALSE;66,96018841;54,64111433;53,45732393;0,109453968;South
52;Hotel BonSol Resort & Spa;Paseo de Illetas 30;7181;Illetes;Spain;2,592568;39,54013;93;3:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;American Express; Visa; MasterCard;TRUE;FALSE;9,146447924;5,596531541;57,00855256;0,072781583;West
54;Catalonia Majorica Hotel;C/ Garita 3;7015;Palma de Mallorca;Spain;2,622087;39,55606;168;2:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; JCB International; Visa;TRUE;FALSE;10,7550096;2,514970445;53,9251253;1,113909562;West
